,,,TR,AZE,,,,,,TR,AZE,,,,,,,,,,,,,,,,
,,Qazanc Marjası,,,,,,122%,,,,,212%,,Table 1A,,,,,,,,,,,,


,,Years,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,,,,,,,,,,,,,,
3,Bank depozit faizi (AZE),Ən yüksək bank faizi (EUR) ilə qazanc," (500,000)"," 15,000 "," 15,450 "," 18,566 "," 19,216 "," 19,888 "," 20,584 "," 21,305 "," 22,050 "," 22,822 "," 23,621 ",,,,,,,,,,,,,,
,,Yatırımın Net Dəyəri (il sonuna),," 515,000 "," 530,450 "," 549,016 "," 568,231 "," 588,119 "," 608,704 "," 630,008 "," 652,058 "," 674,881 "," 698,501 ",,Grafik 1A/1B,,,,,,,,,,,,
,,Qazanc Marjası,,3.0%,6.1%,9.8%,13.6%,17.6%,21.7%,26.0%,30.4%,35.0%,39.7%,,,,,,,,,,,,,,



,,Years,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,,,,,,,,,,,,,,
4,"without mortgage 
(TR)",Ilkin kapital," (500,000)", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,
,,Digər xərclər," (45,000)", (600), (600), (600), (600), (600), (600), (600), (600), (600), (600),,,,,,,,,,,,,,
,,Həyat sığortası,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,
,,Əmlakın dəyər artımı,," 36,500 "," 39,165 "," 42,024 "," 45,091 "," 48,383 "," 51,915 "," 55,705 "," 59,771 "," 64,134 "," 68,816 ",,,,,,,,,,,,,,
,,Kirayə gəliri,," 24,444 "," 25,887 "," 27,414 "," 29,031 "," 30,744 "," 32,558 "," 34,479 "," 36,513 "," 38,668 "," 40,949 ",,,,,,,,,,,,,,
,,Kredit geri ödəməsi,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,
,,Ümumi gəlir," (545,000)"," 60,344 "," 64,451 "," 68,837 "," 73,523 "," 78,527 "," 83,873 "," 89,584 "," 95,684 "," 102,202 "," 109,165 ",,,,,,,,,,,,,,
,,Aylıq net geri ödəmə məbləği,," 1,987 "," 2,107 "," 2,234 "," 2,369 "," 2,512 "," 2,663 "," 2,823 "," 2,993 "," 3,172 "," 3,362 ",,,,,,,,,,,,,,
,,Yatırımın Net Dəyəri (il sonuna),," 560,344 "," 624,796 "," 693,633 "," 767,156 "," 845,683 "," 929,556 "," 1,019,140 "," 1,114,824 "," 1,217,026 "," 1,326,191 ",,Grafik 1B,,,,,,,,,,,,
,,Əmlakın dəyəri,," 536,500 "," 575,665 "," 617,688 "," 662,779 "," 711,162 "," 763,077 "," 818,782 "," 878,553 "," 942,687 "," 1,011,503 ",,Grafik 2B,,,,,,,,,,,,
,,Yatırım qazancı (Net),,,,,," 300,683 ",,,,," 781,191 ",,Table 1B,,,,,,,,,,,,
,,Qazanc Marjası,,,,,,55%,,,,,143%,,Table 1B,,,,,,,,,,,,


,,Years,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,,,,,,,,,,,,,,
5,"without mortgage 
(AZE)",Ilkin kapital," (500,000)", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,
,,Digər xərclər," (45,000)", (600), (600), (600), (600), (600), (600), (600), (600), (600), (600),,,,,,,,,,,,,,
,,Həyat sığortası,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,
,,Əmlakın dəyər artımı,," 25,000 "," 26,250 "," 27,563 "," 28,941 "," 30,388 "," 31,907 "," 33,502 "," 35,178 "," 36,936 "," 38,783 ",,,,,,,,,,,,,,
,,Kirayə gəliri,," 15,556 "," 16,473 "," 17,445 "," 18,475 "," 19,565 "," 20,719 "," 21,941 "," 23,236 "," 24,607 "," 26,058 ",,,,,,,,,,,,,,
,,Kredit geri ödəməsi,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,
,,Ümumi gəlir," (545,000)"," 39,956 "," 42,123 "," 44,408 "," 46,815 "," 49,352 "," 52,026 "," 54,844 "," 57,813 "," 60,943 "," 64,242 ",,,,,,,,,,,,,,
,,Aylıq net geri ödəmə məbləği,," 1,246 "," 1,323 "," 1,404 "," 1,490 "," 1,580 "," 1,677 "," 1,778 "," 1,886 "," 2,001 "," 2,122 ",,,,,,,,,,,,,,
,,Yatırımın Net Dəyəri (il sonuna),," 539,956 "," 582,079 "," 626,487 "," 673,302 "," 722,654 "," 774,680 "," 829,523 "," 887,337 "," 948,280 "," 1,012,522 ",,Grafik 1B,,,,,,,,,,,,
,,Əmlakın dəyəri,," 525,000 "," 551,250 "," 578,813 "," 607,753 "," 638,141 "," 670,048 "," 703,550 "," 738,728 "," 775,664 "," 814,447 ",,Grafik 2B,,,,,,,,,,,,
,,Yatırım qazancı (Net),,,,,," 177,654 ",,,,," 467,522 ",,Table 1B,,,,,,,,,,,,
,,Qazanc Marjası,,,,,,33%,,,,,86%,,Table 1B,,,,,,,,,,,,







Evaluation Only. Created with Aspose.Cells for .NET.Copyright 2003 - 2023 Aspose Pty Ltd.
